컴포넌트,세부 그룹,Function ID,기능명,기능 설명,우선순위
Safety Layer,세션 관리,F-24,파일별 최초 변경 전 상태 저장,세션 내에서 처음 변경된 파일의 원본 상태만 1회 저장,
Safety Layer,스냅샷 관리,F-25,AI 편집 작업 스냅샷 자동 생성,AI 작업 종료 시 세션을 마감하고 전체 변경사항 기준으로 통합 스냅샷 생성,
Safety Layer,스냅샷 관리,F-27,스냅샷 목록 조회,생성된 스냅샷 목록을 조회,
Safety Layer,스냅샷 관리,F-28,스냅샷 상세 조회,"특정 스냅샷의 변경 파일, 생성 이유, 이전 소스 코드와의 변경사항 등을 조회",
Safety Layer,스냅샷 관리,F-30,스냅샷 자동 삭제,설정한 보관 개수 초과 시 오래된 스냅샷부터 자동 삭제,
Safety Layer,원복 관리,F-31,원복 대상 스냅샷 선택 후 원복,사용자가 되돌릴 스냅샷을 선택하여 해당 시점의 파일 상태를 현재 작업 공간에 복원,
Safety Layer,원복 관리,F-32,원복 이력 조회 *,원복 시점과 어떤 스냅샷 기준으로 실행되었는지 조회,
Safety Layer,안전 검사,F-33,대량 삭제 경고,삭제 파일 수가 임계치 이상일 경우 경고 표시,
Safety Layer,안전 검사,F-34,위험 파일 변경 감지,"설정 파일, .git 파일, migration 등 위험 변경을 감지 ",
병합 관리,,,,,
병합 관리,소스코드 분석,F-36,병합 전 충돌 후보 분석,충돌 가능 파일/코드 구간 탐색,
병합 관리,소스코드 분석,F-37,충돌 후보 목록 조회,충돌 파일/코드 비교 조회,
병합 관리,AI 병합 추천,F-38,AI 병합 코드 생성,AI가 충돌 구간에 해결에 대한 변경 코드 생성,
병합 관리,AI 병합 추천,F-39,AI 병합 설명 생성,AI가 왜 해당 코드 수정을 제안했는지 충돌 원인과 해결 방법을 설명,
병합 관리,사용자 검토,F-40,파일별 병합안 검토,사용자에게 수정 파일별로 변경 코드 표시,
병합 관리,사용자 검토,F-41,병합안 수락 / 거절,사용자가 병합 초안을 선택적으로 반영,
병합 관리,병합 실행,F-42,병합 완료 가능 여부 판단,AI가 최종 병합 전 수정 코드들을 비교해 다시 한번 병합 가능 여부 판단,
병합 관리,병합 실행,F-43,병합 실행,검토 완료 후 병합 실행,
병합 관리,소스코드 분석,F-35,병합 대상 브랜치 선택,병합할 base/target 브랜치 선택,
