인터페이스 분류,통신 방식,호출 성격,Extension 관점,기능,인터페이스 ID,세부 그룹,대상 시스템,시그니처/메시지 형식,설명,실패 조건,입력값,출력값,선행 조건,부작용/후속 동작,비고
Module API,Direct Call,Command,Internal,스냅샷 삭제,I-04-deleteSnapshot,SnapshotManager,Local Storage,deleteSnapshot(snapshotId: string): Promise<void>,스냅샷 메타와 파일을 삭제한다,파일 삭제 실패,snapshotId,Promise<void>,snapshotId 존재,목록 갱신,
Module API,Direct Call,Command,Internal,체크포인트 설정,I-04-setCheckpoint,SnapshotManager,Local Storage,"setCheckpoint(snapshotId: string, isCheckpoint: boolean): Promise<void>",스냅샷의 체크포인트 여부를 저장한다,상태 저장 실패,"snapshotId, isCheckpoint",Promise<void>,snapshotId 존재,자동 삭제 제외/포함 변경,
Module API,Direct Call,Command,Internal,오래된 스냅샷 정리,I-04-pruneOldSnapshots,SnapshotManager,Local Storage,pruneOldSnapshots(): Promise<void>,보관 기준을 넘는 오래된 스냅샷을 삭제한다,삭제 실패,없음,Promise<void>,설정값 존재,인덱스 갱신,체크포인트 제외
Module API,Direct Call,Query,Internal,변경 기록 생성,I-05-createRecord,ChangeRecordManager,Local Storage,"createRecord(snapshotId: string, files: ChangedFile[]): Promise<string>",스냅샷과 연결된 변경 기록을 생성한다,저장 실패,"snapshotId, files",Promise<string>,snapshotId 존재,세션 연결 가능,
Module API,Direct Call,Query,Internal,변경 기록 조회,I-05-getRecord,ChangeRecordManager,Local Storage,getRecord(recordId: string): Promise<ChangeRecord>,특정 변경 기록을 반환한다,기록 없음,recordId,Promise<ChangeRecord>,recordId 존재,상세 표시 가능,
Module API,Direct Call,Query,Internal,변경 기록 목록 조회,I-05-listRecords,ChangeRecordManager,Local Storage,listRecords(): Promise<ChangeRecord[]>,저장된 변경 기록 목록을 반환한다,조회 실패,없음,Promise<ChangeRecord[]>,저장소 초기화 완료,UI 표시,
Module API,Direct Call,Command,Internal,AI 컨텍스트 생성,I-05-buildContext,ChangeRecordManager,Local Storage,buildContext(recordId: string): Promise<ContextObject>,AI 호출에 사용할 변경 맥락 객체를 반환한다,기록 조회 실패,recordId,Promise<ContextObject>,recordId 존재,AIClient 입력 구성,
Module API,Direct Call,Command,Internal,세션 연결,I-05-linkToSession,ChangeRecordManager,Local Storage,"linkToSession(recordId: string, sessionId: string): Promise<void>",변경 기록과 세션을 연결한다,저장 실패,"recordId, sessionId",Promise<void>,"recordId, sessionId 존재",세션 기반 추적,
Module API,Direct Call,Command,Internal,충돌 분석,I-06-analyze,ConflictAnalyzer,GitClient/StaticAnalyzer,"analyze(source: string, target: string): Promise<ConflictCandidate[]>","merge base, diff, 정적 분석을 통해 충돌 후보를 반환한다","merge base 조회 실패, diff 실패, 정적 분석 실패","source, target",Promise<ConflictCandidate[]>,두 브랜치 존재,CONFLICT_RESULT 전송,내부 단계 문서화 유지
Module API,Direct Call,Command,Internal,병합 초안 생성,I-07-generateMergeProposal,AIClient,AI Adapter,"generateMergeProposal(candidates: ConflictCandidate[], context: ContextObject): Promise<MergeProposal[]>",충돌 후보와 맥락을 기반으로 AI 병합 초안을 반환한다,"AI 응답 실패, 스키마 검증 실패","candidates, context",Promise<MergeProposal[]>,유효한 candidates/context 존재,MERGE_PROPOSAL 전송,
Module API,Direct Call,Command,Internal,병렬 병합 초안 생성,I-07-generateMergeProposalParallel,AIClient,AI Adapter,generateMergeProposalParallel(conflictFiles: string[]): Promise<MergeProposal[]>,충돌 파일별 병렬 AI 병합 초안을 반환한다,AI 응답 실패,conflictFiles,Promise<MergeProposal[]>,conflictFiles 존재,MERGE_PROPOSAL 전송,Promise.all 병렬
Module API,Direct Call,Command,Internal,커밋 추천 생성,I-07-recommendCommit,AIClient,AI Adapter,"recommendCommit(stagedDiff: string, tag?: CommitTag): Promise<CommitSuggestion>",staged diff를 기반으로 커밋 제목/본문/설명 추천을 반환한다,"AI 응답 실패, 스키마 검증 실패","stagedDiff, tag",Promise<CommitSuggestion>,stagedDiff 존재,COMMIT_SUGGESTIONS 전송,
Module API,Direct Call,Command,Internal,브랜치명 추천 생성,I-07-recommendBranch,AIClient,AI Adapter,recommendBranch(purpose: string): Promise<string[]>,작업 목적 기반 브랜치명 후보를 반환한다,"AI 응답 실패, 스키마 검증 실패",purpose,Promise<string[]>,purpose 존재,BRANCH_SUGGESTIONS 전송,
Module API,Direct Call,Command,Internal,PR 설명 추천 생성,I-07-recommendPR,AIClient,AI Adapter,"recommendPR(base: string, diff: string, commits: string[]): Promise<string>",PR description 초안을 반환한다,"AI 응답 실패, 스키마 검증 실패","base, diff, commits",Promise<string>,"base, diff 존재",PR_SUGGESTION 전송,
Module API,Direct Call,Query,Internal,충돌 마커 스캔,I-07-scanConflictMarkers,AIClient,AI Adapter,scanConflictMarkers(filePaths: string[]): Promise<boolean>,주어진 파일들에 conflict marker가 남아 있는지 반환한다,파일 읽기 실패,filePaths,Promise<boolean>,filePaths 존재,후속 보정 또는 재추천,AIClient보다 별도 유틸 분리도 가능
Module API,Direct Call,Command,Internal,정적 분석 실행,I-08-analyze,StaticAnalyzer,분석기,analyze(candidates: ConflictCandidate[]): Promise<ConflictCandidate[]>,충돌 후보의 신뢰도를 보정한 결과를 반환한다,분석 실패,candidates,Promise<ConflictCandidate[]>,candidates 존재,ConflictAnalyzer 후속 단계,
VS Code Integration,VS Code 이벤트 훅,Event,Registry,저장 직전 이벤트 훅,I-09-onWillSaveTextDocument,Document Save,VSCode API,workspace.onWillSaveTextDocument,파일 저장 직전 상태를 감지한다,이벤트 등록 실패,TextDocument 저장 이벤트,스냅샷 생성 트리거,문서 저장 발생,sessionManager 또는 SnapshotManager 호출,기획상 AI 작업 직전 훅과 구분 필요
VS Code Integration,VS Code 이벤트 훅,Event,Registry,파일 시스템 감시 훅,I-09-createFileSystemWatcher,File Watcher,VSCode API,workspace.createFileSystemWatcher,외부 프로세스 포함 파일 변경을 감지한다,watcher 생성 실패,파일 변경 이벤트,변경 감지 결과,Watcher 등록 완료,목록/상태 UI 갱신,
VS Code Integration,VS Code 이벤트 훅,Event,Registry,워크스페이스 변경 훅,I-09-onDidChangeWorkspaceFolders,Workspace,VSCode API,workspace.onDidChangeWorkspaceFolders,워크스페이스 폴더 추가/제거를 감지한다,재초기화 실패,워크스페이스 폴더 변경,GitClient 재초기화,이벤트 등록 완료,저장소 재선택,멀티 루트 대응 핵심
VS Code Integration,VS Code 이벤트 훅,Event,Registry,활성 에디터 변경 훅,I-09-onDidChangeActiveTextEditor,Editor,VSCode API,window.onDidChangeActiveTextEditor,활성 에디터 변경을 감지한다,에디터 없음,활성 에디터 변경,현재 파일 상태,이벤트 등록 완료,현재 파일 상태 UI 갱신,
VS Code Integration,VS Code 이벤트 훅,Event,Registry,저장 완료 이벤트 훅,I-09-onDidSaveTextDocument,Document Save,VSCode API,workspace.onDidSaveTextDocument,파일 저장 후 Git 상태 갱신을 트리거한다,상태 조회 실패,TextDocument 저장 완료,상태 재조회,이벤트 등록 완료,GIT_STATUS_UPDATED 전송,
VS Code Integration,VS Code Command,Command,Registry,메인 패널 열기 커맨드,I-10-gitcat.openPanel,Command,VSCode API,gitcat.openPanel,GitCat 메인 작업 화면을 연다,패널 생성 실패,없음,메인 패널 표시,커맨드 등록 완료,panel provider 초기화,
VS Code Integration,VS Code Command,Command,Registry,스냅샷 원복 커맨드,I-10-gitcat.restoreSnapshot,Command,VSCode API,gitcat.restoreSnapshot,스냅샷 원복 기능을 실행한다,snapshotId 없음,snapshotId 또는 선택값,원복 실행,커맨드 등록 완료,restore 호출,
VS Code Integration,VS Code Command,Command,Registry,충돌 분석 커맨드,I-10-gitcat.analyzeConflict,Command,VSCode API,gitcat.analyzeConflict,충돌 분석 기능을 실행한다,브랜치 정보 없음,"source, target",분석 결과,커맨드 등록 완료,analyze 호출,
VS Code Integration,VS Code Command,Command,Registry,병합 실행 커맨드,I-10-gitcat.runMerge,Command,VSCode API,gitcat.runMerge,병합 실행 기능을 호출한다,병합 실패,"source, target",병합 결과,커맨드 등록 완료,runMerge 호출,
VS Code Integration,VS Code Command,Command,Registry,커밋 추천 커맨드,I-10-gitcat.recommendCommit,Command,VSCode API,gitcat.recommendCommit,커밋 메시지 추천 기능을 실행한다,diff 수집 실패,diff 또는 내부 수집값,추천 결과,커맨드 등록 완료,recommendCommit 호출,
VS Code Integration,VS Code Command,Command,Registry,브랜치명 추천 커맨드,I-10-gitcat.recommendBranch,Command,VSCode API,gitcat.recommendBranch,브랜치명 추천 기능을 실행한다,purpose 없음,purpose,추천 결과,커맨드 등록 완료,recommendBranch 호출,
VS Code Integration,VS Code Command,Command,Registry,PR 추천 커맨드,I-10-gitcat.recommendPR,Command,VSCode API,gitcat.recommendPR,PR 설명 추천 기능을 실행한다,base 없음,base,추천 결과,커맨드 등록 완료,recommendPR 호출,
VS Code Integration,VS Code Command,Command,Registry,브랜치 정리 커맨드,I-10-gitcat.cleanBranches,Command,VSCode API,gitcat.cleanBranches,브랜치 정리 기능을 실행한다,삭제 실패,선택한 branch names,삭제 결과,커맨드 등록 완료,deleteBranch 호출,
VS Code Integration,VS Code Command,Command,Registry,수동 스냅샷 생성 커맨드,I-10-gitcat.createSnapshot,Command,VSCode API,gitcat.createSnapshot,수동 스냅샷 생성을 실행한다,생성 실패,"files, reason",snapshotId,커맨드 등록 완료,createSnapshot 호출,핸들러 계층 분리 권장
VS Code Integration,VS Code Command,Command,Registry,Git 상태 갱신 커맨드,I-10-gitcat.refreshStatus,Command,VSCode API,gitcat.refreshStatus,현재 Git 상태를 재조회한다,상태 조회 실패,없음,GitStatus,커맨드 등록 완료,GIT_STATUS_UPDATED 전송,내부용
STORAGE,globalState,Query,Persistence,globalState 조회,I-11-storage-get,ExtensionContext.globalState,VSCode API,get<T>(key: string): T | undefined,globalState에 저장된 값을 조회한다,키 없음,key,저장 값 또는 undefined,context 초기화 완료,후속 로직 분기,StorageService 래퍼 사용
STORAGE,globalState,Persistence,Persistence,globalState 저장,I-11-storage-set,ExtensionContext.globalState,VSCode API,"set<T>(key: string, value: T): Promise<void>",globalState에 값을 저장한다,update 실패,"key, value",Promise<void>,context 초기화 완료,인덱스/설정 값 반영,
STORAGE,globalState,Persistence,Persistence,globalState 삭제,I-11-storage-delete,ExtensionContext.globalState,VSCode API,delete(key: string): Promise<void>,globalState에서 값을 삭제한다,update 실패,key,Promise<void>,context 초기화 완료,후속 조회 결과 반영,
STORAGE,File I/O,Persistence,Persistence,스냅샷 메타 파일 저장,I-12-metadata-json,.vscode/snapshots,Local File System,metadata.json,스냅샷 메타데이터를 파일로 저장한다,파일 쓰기 실패,SnapshotMeta 구조,저장 완료,워크스페이스 루트 접근 가능,복구/목록 조회 기반 데이터 제공,.gitignore 제외 필요
STORAGE,File I/O,Persistence,Persistence,스냅샷 파일 복사 저장,I-12-snapshot-file-copy,.vscode/snapshots,Local File System,snapshot file copy,복구용 파일 복사본을 저장한다,파일 쓰기 실패,"원본 파일 경로, 내용",저장 완료,파일 경로 유효,restore 입력 데이터 제공,경로 치환 규칙 유지
Type / Schema,Type Import,Definition,Definition,공통 타입 계약,I-13-types,src/core/types.ts,TypeScript Type System,export interface/type,모듈 간 공유 타입 계약을 제공한다,타입 불일치,타입 정의,정적 타입 검사,공통 타입 import 가능,컴파일 단계 검증,문서와 코드 동기화 필요
Type / Schema,Schema Validation,Validation,Definition,AI 응답 스키마 검증,I-14-zod-schemas,Zod Schema,Zod,schema.parse(raw),AI 응답 구조를 검증한다,ZodError 발생,raw response,검증된 응답 또는 예외,스키마 정의 완료,1회 재시도 후 ERROR 처리,AI 응답 안정성 핵심
