구분,DB명,속성명,타입,설명,필수 여부,값 목록 / 관계 대상,비고
C,AI Proposals,Primary Text,Text,추천 기능의 대표 결과 텍스트,선택,,recommendation 결과용
C,AI Proposals,Alternative Texts,Text,추천 기능의 대안 후보 목록,선택,,배열을 문자열로 관리 가능
C,AI Proposals,Generation Basis Summary,Text,추천 생성 근거 요약,선택,,recommendation 결과용
C,AI Proposals,Merge Analysis Ref,Text,병합 분석 참조 ID 또는 경로,선택,,merge_analysis 연결용
C,AI Proposals,Conflict Candidate Refs,Text,관련 충돌 후보 참조 목록,선택,,다중 ID는 문자열로 관리 가능
C,AI Proposals,Related Files,Text,관련 파일 목록,선택,,경량 명세용이면 Text 권장
C,AI Proposals,Affected Symbols,Text,영향받는 함수/심볼 목록,선택,,"함수, 클래스 등"
C,AI Proposals,Diff Patch Ref,Text,diff/patch 원문 참조 경로 또는 ID,선택,,병합 초안 핵심
C,AI Proposals,Merged Code Ref,Text,병합 코드 원문 참조 경로 또는 ID,선택,,코드 초안 저장 참조
C,AI Proposals,Validation Required,Checkbox,추가 검증 필요 여부,선택,true / false,정적 분석 연계용
C,AI Proposals,Validation Summary,Text,검증 결과 요약,선택,,구조적 문제 요약
C,AI Proposals,Parsed At,Date,파싱 완료 시각,선택,,결과 생성 완료 시점
C,AI Proposals,Feedback,Relation,사용자 피드백 참조,선택,Proposal Feedback,후속 판단 연결
C,AI Proposals,Training Candidates,Relation,학습 후보 참조,선택,Training Candidates,확장용
D,Proposal Feedback,Feedback ID,Title,사용자 피드백 식별자,필수,,예: FB-20260422-001
D,Proposal Feedback,Proposal,Relation,대상 AI 제안 참조,필수,AI Proposals,어떤 결과에 대한 피드백인지 연결
D,Proposal Feedback,Session,Relation,상위 세션 참조,필수,AI Sessions,세션 단위 추적용
D,Proposal Feedback,Selection Status,Select,사용자 최종 선택 상태,필수,"accepted, edited, rejected",핵심 판단값
D,Proposal Feedback,Final Text,Text,최종 확정 텍스트,선택,,recommendation 결과 확정본
D,Proposal Feedback,Final Code Ref,Text,최종 확정 코드 참조 경로 또는 ID,선택,,patch/code 수정본 저장
D,Proposal Feedback,Final Explanation,Text,최종 설명 또는 보정 설명,선택,,사용자가 수정한 설명 포함 가능
D,Proposal Feedback,Quality Tag,Select,품질 평가 태그,선택,"useful, partially_useful, not_useful, incorrect, unsafe, needs_followup",후속 분석용
D,Proposal Feedback,Edited Fields,Multi-select,수정된 항목 목록,선택,"title, summary, explanation, merged_code, diff_patch, recommendation_text, primary_text",edited일 때 주로 사용
D,Proposal Feedback,Feedback Note,Text,사용자 자유 메모,선택,,왜 수정/거절했는지 기록
D,Proposal Feedback,Decided By,Text,판단 주체,선택,local_user,로컬 사용자 기본값
D,Proposal Feedback,Decided At,Date,최종 판단 시각,필수,,날짜+시간 권장
E,Training Candidates,Training Candidate ID,Title,학습 후보 식별자,필수,,예: TC-20260422-001
E,Training Candidates,Proposal,Relation,원본 AI 제안 참조,필수,AI Proposals,후보의 출처
E,Training Candidates,Feedback,Relation,연결된 피드백 참조,선택,Proposal Feedback,선택 결과 기반 후보화
E,Training Candidates,Session,Relation,상위 세션 참조,필수,AI Sessions,세션 연결용
E,Training Candidates,Dataset Type,Select,데이터셋 유형,필수,"sft, dpo, eval",학습/평가 용도 구분
E,Training Candidates,Source Type,Select,후보 데이터 출처 유형,필수,"merge_proposal, conflict_explanation, recommendation",기능 기반 출처 구분
E,Training Candidates,Prompt Ref,Text,프롬프트 참조 경로 또는 ID,선택,,입력 원문 참조
E,Training Candidates,Chosen Ref,Text,채택된 결과 참조 경로 또는 ID,선택,,SFT/DPO용
E,Training Candidates,Rejected Ref,Text,거절된 결과 참조 경로 또는 ID,선택,,DPO용
E,Training Candidates,Input Schema Ref,Text,입력 스키마 참조 경로 또는 ID,선택,,재현성 확보용
E,Training Candidates,Is Approved,Checkbox,학습 후보 승인 여부,선택,true / false,export 전 승인 플래그
E,Training Candidates,Is Exported,Checkbox,외부 export 여부,선택,true / false,데이터 반출 여부 관리
E,Training Candidates,Approval Note,Text,승인/보류 사유,선택,,품질 검토 메모
E,Training Candidates,Created At,Date,후보 생성 시각,필수,,날짜+시간 권장
E,Training Candidates,Exported At,Date,export 완료 시각,선택,,반출 시 기록
