객체명,필드명,타입,필수 여부,설명,예시 값,enum 값,조건,담당 모듈,담당자,관련 기능,저장 여부,비고
parsed_ai_result,feature_type,enum,필수,기능 유형,merge_mediation,"conflict_explanation, merge_mediation, merge_patch_draft, recommendation",,parse,남주완,"merge_patch_draft, conflict_explanation, merge_mediation, recommendation",저장함,
parsed_ai_result,title,string,필수,결과 제목,DTO 구조를 유지하는 방향의 병합안,,,parse,남주완,"merge_patch_draft, conflict_explanation, merge_mediation, recommendation",저장함,UI 표시용
parsed_ai_result,summary,string,필수,결과 요약,develop의 응답 구조를 유지하되 예외 처리 변경을 반영하는 안,,,parse,남주완,"merge_patch_draft, conflict_explanation, merge_mediation, recommendation",저장함,
parsed_ai_result,explanation,string,선택,상세 설명,공통 모듈 의존성을 고려하면 DTO 변경 최소화가 안전함,,,parse,남주완,"merge_patch_draft, conflict_explanation, merge_mediation, recommendation",저장함,
parsed_ai_result,confidence_score,number,선택,신뢰도 점수,0.82,,,parse,남주완,"merge_patch_draft, conflict_explanation, merge_mediation, recommendation",저장함,0~1 권장
parsed_ai_result,proposal_status,enum,필수,제안 결과 상태,parsed,"generated, parsed, displayed, accepted, edited, rejected, archived",,parse,남주완,"merge_patch_draft, conflict_explanation, merge_mediation, recommendation",저장함,
parsed_ai_result,parser_version,string,필수,파서 버전,v1,,,parse,남주완,"merge_patch_draft, conflict_explanation, merge_mediation, recommendation",저장함,파서 관리용
parsed_ai_result,diff_patch_ref,ref,조건부 필수,patch 원문 참조,patch://local/aip_001.patch,,"feature_type이 merge_patch_draft일 때, merged_code_ref와 둘 중 하나 이상 필요",parse,남주완,merge_patch_draft,ref만 저장,핵심 산출물
parsed_ai_result,merged_code_ref,ref,조건부 필수,병합 코드 참조,code://local/aip_001.ts,,"feature_type이 merge_patch_draft일 때, diff_patch_ref와 둘 중 하나 이상 필요",parse,남주완,merge_patch_draft,ref만 저장,
parsed_ai_result,applied_files,array,선택,적용 대상 파일 목록,"[""src/auth/service.ts""]",,,parse,남주완,merge_patch_draft,저장함,
parsed_ai_result,validation_required,boolean,선택,정적 분석 필요 여부,true,,,parse,남주완,merge_patch_draft,저장함,
parsed_ai_result,validation_summary,string,선택,검증 요약,타입 확인 필요: LoginResponseDto,,,parse,남주완,merge_patch_draft,저장함,
parsed_ai_result,cause_summary,string,조건부 필수,충돌 원인 요약,로그인 응답 DTO 구조와 예외 처리 포맷이 동시에 변경됨,,feature_type이 conflict_explanation일 때 필수,parse,남주완,conflict_explanation,저장함,
parsed_ai_result,detailed_explanation,string,선택,상세 설명,동일 파일 내 직접 충돌은 없지만 응답 형식 사용 지점에서 간접 충돌 가능,,,parse,남주완,conflict_explanation,저장함,
parsed_ai_result,related_files,array,선택,관련 파일 목록,"[""src/auth/dto.ts"",""src/auth/controller.ts""]",,,parse,남주완,conflict_explanation,저장함,
parsed_ai_result,recommended_resolution_direction,string,선택,권장 해결 방향,DTO 구조를 기준 브랜치에 맞추고 예외 처리만 선택 반영,,,parse,남주완,conflict_explanation,저장함,중재안 전 단계
parsed_ai_result,risk_level,enum,선택,위험 수준,high,"low, medium, high, critical",,parse,남주완,conflict_explanation,저장함,세션 risk와 별도 가능
parsed_ai_result,recommended_option,string,조건부 필수,권장 중재안 선택지,develop의 DTO 구조를 유지하고 feature의 예외 처리 흐름만 반영,,feature_type이 merge_mediation일 때 필수,parse,남주완,merge_mediation,저장함,
parsed_ai_result,tradeoffs,array,선택,대안별 장단점 목록,"[""DTO 변경 최소화 장점"",""예외 포맷 일부 재조정 필요""]",,,parse,남주완,merge_mediation,저장함,
parsed_ai_result,recommended_next_action,string,선택,권장 다음 행동,정적 분석 후 login response 관련 호출부 재확인,,,parse,남주완,merge_mediation,저장함,
parsed_ai_result,recommendation_type,enum,조건부 필수,추천 결과 세부 유형,commit_message,"commit_message, branch_name, work_description",feature_type이 recommendation일 때 필수,parse,남주완,recommendation,저장함,
parsed_ai_result,primary_text,string,조건부 필수,가장 우선 추천하는 결과 1개,refactor(auth): align login dto and error flow,,feature_type이 recommendation일 때 필수,parse,남주완,recommendation,저장함,
parsed_ai_result,alternative_texts,array,조건부 필수,대안 후보 목록,"[""fix(auth): normalize login response and exceptions"",""refactor(auth): clean up login response handling""]",,feature_type이 recommendation일 때 필수,parse,남주완,recommendation,저장함,
parsed_ai_result,generation_basis_summary,string,선택,어떤 변경 근거를 바탕으로 추천했는지 요약,"DTO 구조 정리, 예외 처리 흐름 수정, 인증 서비스 반환 타입 보정을 반영함",,,parse,남주완,recommendation,저장함,
parsed_ai_result,format_notes,string,선택,형식상 참고할 점,conventional commit 형식과 50자 내외 subject 기준을 반영함,,,parse,남주완,recommendation,저장함,
parsed_ai_result,warnings,array,선택,추천 사용 시 주의사항,"[""feat는 신규 기능으로 오해될 수 있어 refactor 또는 fix가 더 적절할 수 있음""]",,,parse,남주완,recommendation,저장함,
merge_proposal_output,proposal_id,string,필수,병합 초안 식별자,aip_20260422_001,,,parse,남주완,merge_patch_draft,저장함,parsed result와 연결
merge_proposal_output,merge_analysis_ref,ref,선택,병합 분석 참조,merge://analysis/ma_001,,,parse,남주완,merge_patch_draft,ref만 저장,
merge_proposal_output,conflict_candidate_refs,array,선택,관련 충돌 후보 참조 목록,"[""cc_001"",""cc_002""]",,,parse,남주완,merge_patch_draft,저장함,문자열 배열
merge_proposal_output,diff_patch_ref,ref,조건부 필수,patch 원문 참조,patch://local/aip_001.patch,,병합 초안이면 필수,parse,남주완,merge_patch_draft,ref만 저장,핵심 산출물
merge_proposal_output,merged_code_ref,ref,조건부 필수,병합 코드 참조,code://local/aip_001.ts,,patch 대신 코드 원문 저장 시 필수,parse,남주완,merge_patch_draft,ref만 저장,둘 중 하나 이상 필요
merge_proposal_output,applied_files,array,선택,적용 대상 파일 목록,"[""src/auth/service.ts""]",,,parse,남주완,merge_patch_draft,저장함,
merge_proposal_output,affected_symbols,array,선택,영향받는 심볼 목록,"[""AuthService.login""]",,,parse,남주완,merge_patch_draft,저장함,
merge_proposal_output,validation_required,boolean,선택,정적 분석 필요 여부,true,,,parse,남주완,merge_patch_draft,저장함,
merge_proposal_output,validation_summary,string,선택,검증 요약,타입 확인 필요: LoginResponseDto,,,parse,남주완,merge_patch_draft,저장함,
conflict_explanation_output,proposal_id,string,필수,충돌 설명 결과 식별자,aip_20260422_002,,,parse,남주완,conflict_explanation,저장함,
conflict_explanation_output,cause_summary,string,필수,충돌 원인 요약,로그인 응답 DTO 구조와 예외 처리 포맷이 동시에 변경됨,,,parse,남주완,conflict_explanation,저장함,
conflict_explanation_output,detailed_explanation,string,선택,상세 설명,동일 파일 내 직접 충돌은 없지만 응답 형식 사용 지점에서 간접 충돌 가능,,,parse,남주완,conflict_explanation,저장함,
conflict_explanation_output,related_files,array,선택,관련 파일 목록,"[""src/auth/dto.ts"",""src/auth/controller.ts""]",,,parse,남주완,conflict_explanation,저장함,
conflict_explanation_output,related_symbols,array,선택,관련 심볼 목록,"[""LoginResponseDto"",""AuthController.login""]",,,parse,남주완,conflict_explanation,저장함,
conflict_explanation_output,recommended_resolution_direction,string,선택,권장 해결 방향,DTO 구조를 기준 브랜치에 맞추고 예외 처리만 선택 반영,,,parse,남주완,conflict_explanation,저장함,중재안 전 단계
conflict_explanation_output,risk_level,enum,선택,위험 수준,high,"low, medium, high, critical",,parse,남주완,conflict_explanation,저장함,
proposal_feedback_payload,feedback_id,string,필수,피드백 식별자,fb_20260422_001,,,save,신형섭,"merge_patch_draft, conflict_explanation, merge_mediation, recommendation",저장함,
proposal_feedback_payload,proposal_id,string,필수,대상 proposal 식별자,aip_20260422_001,,,save,신형섭,"merge_patch_draft, conflict_explanation, merge_mediation, recommendation",저장함,
proposal_feedback_payload,selection_status,enum,필수,사용자 최종 선택 상태,edited,"accepted, edited, rejected",,save,신형섭,"merge_patch_draft, conflict_explanation, merge_mediation, recommendation",저장함,핵심 저장값
proposal_feedback_payload,final_text,string,조건부 필수,최종 텍스트 결과,fix(auth): align response dto and keep new exception flow,,recommendation에서 accepted 또는 edited일 때 사용 가능,save,신형섭,recommendation,저장함,추천형 결과용
proposal_feedback_payload,final_code_ref,ref,조건부 필수,최종 코드 참조,code://local/final/fb_001.ts,,merge_patch_draft에서 edited일 때 필수,save,신형섭,merge_patch_draft,ref만 저장,코드형 결과용
proposal_feedback_payload,final_explanation,string,선택,최종 설명 또는 보정 설명,예외 처리 부분만 유지하고 DTO는 기준 브랜치 구조를 따름,,,save,신형섭,"merge_patch_draft, conflict_explanation, merge_mediation, recommendation",저장함,
proposal_feedback_payload,quality_tag,enum,선택,품질 평가 태그,partially_useful,"useful, partially_useful, not_useful, incorrect, unsafe, needs_followup",,save,신형섭,"merge_patch_draft, conflict_explanation, merge_mediation, recommendation",저장함,학습 후보화 참고
proposal_feedback_payload,feedback_note,string,선택,자유 메모,설명은 유용했지만 patch는 일부 수동 수정 필요,,,save,신형섭,"merge_patch_draft, conflict_explanation, merge_mediation, recommendation",저장함,
proposal_feedback_payload,decided_at,datetime,필수,최종 판단 시각,2026-04-22T14:40:00+09:00,,,save,신형섭,"merge_patch_draft, conflict_explanation, merge_mediation, recommendation",저장함,
training_candidate_payload,training_candidate_id,string,필수,학습 후보 식별자,tc_20260422_001,,,save,신형섭,"merge_patch_draft, conflict_explanation, merge_mediation, recommendation",저장함,
training_candidate_payload,proposal_id,string,필수,원본 proposal 식별자,aip_20260422_001,,,save,신형섭,"merge_patch_draft, conflict_explanation, merge_mediation, recommendation",저장함,
training_candidate_payload,feedback_id,string,선택,연결된 피드백 식별자,fb_20260422_001,,,save,신형섭,"merge_patch_draft, conflict_explanation, merge_mediation, recommendation",저장함,
training_candidate_payload,dataset_type,enum,필수,데이터셋 유형,dpo,"sft, dpo, eval",,save,신형섭,"merge_patch_draft, conflict_explanation, merge_mediation, recommendation",저장함,
training_candidate_payload,source_type,enum,필수,후보 출처 유형,merge_proposal,"merge_proposal, conflict_explanation, recommendation",,save,신형섭,"merge_patch_draft, conflict_explanation, recommendation",저장함,
training_candidate_payload,prompt_ref,ref,선택,프롬프트 참조,prompt://local/air_001.txt,,,save,신형섭,"merge_patch_draft, conflict_explanation, merge_mediation, recommendation",ref만 저장,
training_candidate_payload,chosen_ref,ref,조건부 필수,채택 결과 참조,chosen://local/tc_001.json,,sft/dpo일 때 필요,save,신형섭,"merge_patch_draft, conflict_explanation, merge_mediation, recommendation",ref만 저장,
training_candidate_payload,rejected_ref,ref,조건부 필수,거절 결과 참조,rejected://local/tc_001.json,,dpo일 때 필요,save,신형섭,"merge_patch_draft, conflict_explanation, merge_mediation, recommendation",ref만 저장,
training_candidate_payload,is_approved,boolean,선택,학습 후보 승인 여부,false,,,save,신형섭,"merge_patch_draft, conflict_explanation, merge_mediation, recommendation",저장함,
training_candidate_payload,is_exported,boolean,선택,export 여부,false,,,save,신형섭,"merge_patch_draft, conflict_explanation, merge_mediation, recommendation",저장함,
